"id","n","data_q","fit_q","algo","rep","logZ","eps","iters","secs","status"
"n030_d3_f3_rpm_r02",30,3,3,"RE-pcnmala",2,-21.7842609929478,1,8,183.843972921371,"ok"
"n030_d3_f3_rpm_r03",30,3,3,"RE-pcnmala",3,-21.7685020456169,1,8,180.388583898544,"ok"
"n030_d3_f3_rpm_r04",30,3,3,"RE-pcnmala",4,-21.80122463079,1,8,325.148627996445,"ok"
"n030_d3_f3_rpm_r05",30,3,3,"RE-pcnmala",5,-21.5183138671818,1,8,292.03969502449,"ok"
"n030_d3_f3_rpm_r06",30,3,3,"RE-pcnmala",6,-21.8231901340387,1,8,261.01798081398,"ok"
"n030_d3_f3_rpm_r07",30,3,3,"RE-pcnmala",7,-21.843620347895,1,8,270.583459854126,"ok"
"n030_d3_f3_rpm_r08",30,3,3,"RE-pcnmala",8,-21.7627000453773,1,8,292.208923816681,"ok"
"n030_d3_f3_rpm_r09",30,3,3,"RE-pcnmala",9,-21.6366574219373,1,8,262.347019910812,"ok"
"n030_d3_f3_rpm_r10",30,3,3,"RE-pcnmala",10,-21.8344856307153,1,8,158.921619176865,"ok"
"n030_d3_f3_rpm_r11",30,3,3,"RE-pcnmala",11,-21.795339305444,1,8,268.480527877808,"ok"
"n030_d3_f3_rpm_r12",30,3,3,"RE-pcnmala",12,-21.6607290282161,1,8,296.898939847946,"ok"
"n030_d3_f3_rpm_r13",30,3,3,"RE-pcnmala",13,-21.8960413993698,1,8,297.442389011383,"ok"
"n030_d3_f3_rpm_r14",30,3,3,"RE-pcnmala",14,-21.7414419848075,1,8,304.963433027267,"ok"
"n030_d3_f3_rpm_r15",30,3,3,"RE-pcnmala",15,-21.6267946277834,1,8,298.971900939941,"ok"
"n030_d3_f3_rpm_r16",30,3,3,"RE-pcnmala",16,-21.904123108995,1,8,161.289364099503,"ok"
"n030_d3_f3_rpm_r17",30,3,3,"RE-pcnmala",17,-21.7485133332706,1,8,164.59136891365,"ok"
"n030_d3_f3_rpm_r18",30,3,3,"RE-pcnmala",18,-21.9025916783543,1,7,145.258975028992,"ok"
"n030_d3_f3_rpm_r19",30,3,3,"RE-pcnmala",19,-21.7554460323282,1,8,263.097738027573,"ok"
"n030_d3_f3_rpm_r20",30,3,3,"RE-pcnmala",20,-21.7966062465684,1,8,285.273329973221,"ok"
"n030_d3_f3_rpm_r21",30,3,3,"RE-pcnmala",21,-21.5663623521946,1,8,272.99244594574,"ok"
"n030_d3_f3_rpm_r22",30,3,3,"RE-pcnmala",22,-21.7310548283812,1,8,167.699694871902,"ok"
"n030_d3_f3_rpm_r23",30,3,3,"RE-pcnmala",23,-21.9124666319573,1,8,308.681933879852,"ok"
"n030_d3_f3_rpm_r24",30,3,3,"RE-pcnmala",24,-21.7648435300625,1,8,289.395401954651,"ok"
"n030_d3_f3_rpm_r25",30,3,3,"RE-pcnmala",25,-21.7703695505066,1,8,298.059644937515,"ok"
"n030_d3_f3_rpm_r26",30,3,3,"RE-pcnmala",26,-21.884144650408,1,8,303.974204063416,"ok"
"n030_d3_f3_rpm_r27",30,3,3,"RE-pcnmala",27,-21.5553894977553,1,8,290.579591035843,"ok"
"n030_d3_f3_rpm_r28",30,3,3,"RE-pcnmala",28,-21.7500694225689,1,8,164.899159193039,"ok"
"n030_d3_f3_rpm_r29",30,3,3,"RE-pcnmala",29,-21.753471589559,1,8,275.471976041794,"ok"
"n030_d3_f3_rpm_r30",30,3,3,"RE-pcnmala",30,-21.824140800405,1,8,307.794122934341,"ok"
"n030_d4_f4_abc_r01",30,4,4,"ABC-SMC",1,-43.956124156496,1,21,36.0567209720612,"ok"
"n030_d4_f4_abc_r02",30,4,4,"ABC-SMC",2,-43.3396571840291,1,21,35.8135361671448,"ok"
"n030_d4_f4_abc_r03",30,4,4,"ABC-SMC",3,-48.4591375829578,1,20,30.7412660121918,"ok"
"n030_d4_f4_abc_r04",30,4,4,"ABC-SMC",4,-41.6203275492691,1,21,34.9474158287048,"ok"
"n030_d4_f4_abc_r05",30,4,4,"ABC-SMC",5,-44.1203511513892,1,22,34.984631061554,"ok"
"n030_d4_f4_abc_r06",30,4,4,"ABC-SMC",6,-36.5673594424923,1,19,29.2930200099945,"ok"
"n030_d4_f4_abc_r07",30,4,4,"ABC-SMC",7,-47.5304175053575,1,23,37.807886838913,"ok"
"n030_d4_f4_abc_r08",30,4,4,"ABC-SMC",8,-48.125424981336,1,19,28.5818049907684,"ok"
"n030_d4_f4_abc_r09",30,4,4,"ABC-SMC",9,-42.8018423236359,1,20,29.5219419002533,"ok"
"n030_d4_f4_abc_r10",30,4,4,"ABC-SMC",10,-39.6643883971125,1,23,34.2240328788757,"ok"
"n030_d4_f4_abc_r11",30,4,4,"ABC-SMC",11,-44.7974149344259,1,19,29.0038261413574,"ok"
"n030_d4_f4_abc_r12",30,4,4,"ABC-SMC",12,-42.2650354181328,1,24,38.8650760650635,"ok"
"n030_d4_f4_abc_r13",30,4,4,"ABC-SMC",13,-42.7871142586175,1,17,28.1157710552216,"ok"
"n030_d4_f4_abc_r14",30,4,4,"ABC-SMC",14,-44.8911138210126,1,24,38.0086741447449,"ok"
"n030_d4_f4_abc_r15",30,4,4,"ABC-SMC",15,-38.8226776581674,1,24,38.4428708553314,"ok"
"n030_d4_f4_abc_r16",30,4,4,"ABC-SMC",16,-37.5623752759374,1,21,30.1302738189697,"ok"
"n030_d4_f4_abc_r17",30,4,4,"ABC-SMC",17,-49.0511893407776,1,24,37.926717042923,"ok"
"n030_d4_f4_abc_r18",30,4,4,"ABC-SMC",18,-48.0562397746805,1,24,39.0523250102997,"ok"
"n030_d4_f4_abc_r19",30,4,4,"ABC-SMC",19,-41.8786120202647,1,18,28.7385330200195,"ok"
"n030_d4_f4_abc_r20",30,4,4,"ABC-SMC",20,-44.3208831635974,1,18,29.3717908859253,"ok"
"n030_d4_f4_abc_r21",30,4,4,"ABC-SMC",21,-46.7092408253665,1,19,29.4284520149231,"ok"
"n030_d4_f4_abc_r22",30,4,4,"ABC-SMC",22,-45.2126621113215,1,23,35.2560269832611,"ok"
"n030_d4_f4_abc_r23",30,4,4,"ABC-SMC",23,-43.2840854961884,1,22,34.1518549919128,"ok"
"n030_d4_f4_abc_r24",30,4,4,"ABC-SMC",24,-38.5151091548645,1,16,24.7458829879761,"ok"
"n030_d4_f4_abc_r25",30,4,4,"ABC-SMC",25,-42.3658664280586,1,14,20.1240611076355,"ok"
"n030_d4_f4_abc_r26",30,4,4,"ABC-SMC",26,-39.8393334766124,1,22,34.5037491321564,"ok"
"n030_d4_f4_abc_r27",30,4,4,"ABC-SMC",27,-42.2835787249042,1,25,38.7282710075378,"ok"
"n030_d4_f4_abc_r28",30,4,4,"ABC-SMC",28,-39.9077163602389,1,23,35.1190311908722,"ok"
"n030_d4_f4_abc_r29",30,4,4,"ABC-SMC",29,-35.9391303956731,1,12,18.6030700206757,"ok"
"n030_d4_f4_abc_r30",30,4,4,"ABC-SMC",30,-45.739004234097,1,21,34.8424038887024,"ok"
"n030_d4_f4_reg_r01",30,4,4,"RE-gaussian",1,-30.2266858701892,1,13,55.2785320281982,"ok"
"n030_d4_f4_reg_r02",30,4,4,"RE-gaussian",2,-30.5599321675587,1,13,55.5673480033875,"ok"
"n030_d4_f4_reg_r03",30,4,4,"RE-gaussian",3,-30.3835192988057,1,13,55.6730031967163,"ok"
"n030_d4_f4_reg_r04",30,4,4,"RE-gaussian",4,-30.4093463618917,1,13,56.3246757984161,"ok"
"n030_d4_f4_reg_r05",30,4,4,"RE-gaussian",5,-31.1557374022599,1,14,58.3472909927368,"ok"
"n030_d4_f4_reg_r06",30,4,4,"RE-gaussian",6,-30.6042674062639,1,14,56.6808049678802,"ok"
"n030_d4_f4_reg_r07",30,4,4,"RE-gaussian",7,-30.2119749040946,1,13,54.5622730255127,"ok"
"n030_d4_f4_reg_r08",30,4,4,"RE-gaussian",8,-30.2450773501937,1,13,54.4002618789673,"ok"
"n030_d4_f4_reg_r09",30,4,4,"RE-gaussian",9,-30.4745316723684,1,14,56.8889350891113,"ok"
"n030_d4_f4_reg_r10",30,4,4,"RE-gaussian",10,-30.506186245159,1,13,54.7671799659729,"ok"
"n030_d4_f4_reg_r11",30,4,4,"RE-gaussian",11,-30.4138109769687,1,13,54.8673038482666,"ok"
"n030_d4_f4_reg_r12",30,4,4,"RE-gaussian",12,-30.8208999966679,1,13,53.6184780597687,"ok"
"n030_d4_f4_reg_r13",30,4,4,"RE-gaussian",13,-30.6581425546748,1,13,54.437609910965,"ok"
"n030_d4_f4_reg_r14",30,4,4,"RE-gaussian",14,-30.1700600004577,1,13,53.6626708507538,"ok"
"n030_d4_f4_reg_r15",30,4,4,"RE-gaussian",15,-30.5799333548065,1,13,53.6706471443176,"ok"
"n030_d4_f4_reg_r16",30,4,4,"RE-gaussian",16,-30.48718967192,1,13,53.556224822998,"ok"
"n030_d4_f4_reg_r17",30,4,4,"RE-gaussian",17,-30.6708036455879,1,13,53.2582490444183,"ok"
"n030_d4_f4_reg_r18",30,4,4,"RE-gaussian",18,-30.4187579821976,1,14,55.1152629852295,"ok"
"n030_d4_f4_reg_r19",30,4,4,"RE-gaussian",19,-30.4741548176803,1,13,53.2880239486694,"ok"
"n030_d4_f4_reg_r20",30,4,4,"RE-gaussian",20,-30.9020283278454,1,14,55.1271121501923,"ok"
"n030_d4_f4_reg_r21",30,4,4,"RE-gaussian",21,-30.18259558426,1,13,53.2081999778748,"ok"
"n030_d4_f4_reg_r22",30,4,4,"RE-gaussian",22,-30.2817614967811,1,13,52.9716019630432,"ok"
"n030_d4_f4_reg_r23",30,4,4,"RE-gaussian",23,-30.7166558988005,1,13,53.1604149341583,"ok"
"n030_d4_f4_reg_r24",30,4,4,"RE-gaussian",24,-30.7034031451386,1,13,52.0618531703949,"ok"
